time,BTC_high,BTC_low,BTC_open,BTC_volumefrom,BTC_volumeto,BTC_close,BTC_conversionType,BTC_conversionSymbol,ETH_high,ETH_low,ETH_open,ETH_volumefrom,ETH_volumeto,ETH_close,ETH_conversionType,ETH_conversionSymbol,BCH_high,BCH_low,BCH_open,BCH_volumefrom,BCH_volumeto,BCH_close,BCH_conversionType,BCH_conversionSymbol,LTC_high,LTC_low,LTC_open,LTC_volumefrom,LTC_volumeto,LTC_close,LTC_conversionType,LTC_conversionSymbol
2018-04-16,8430.93,7929.24,8376.73,87681.75,713471956.84,8079.77,direct,,537.48,499.17,534.16,487480.43,249996040.92,511.67,direct,,773.15,754.0,785.4,152574.18,117248210.89,768.47,multiply,BTC,133.39,125.28,132.71,473258.36,60722721.4,128.84,direct,
2018-04-17,8187.6,7858.12,8079.77,71933.6,580880500.84,7921.63,direct,,522.07,500.48,511.67,382492.24,195195626.75,503.03,direct,,764.04,749.23,768.47,146675.48,111473538.2,760.0,multiply,BTC,140.41,128.81,128.84,849291.84,114879247.1,132.34,direct,
2018-04-18,8246.57,7908.92,7921.65,73050.12,593500791.64,8189.96,direct,,526.61,501.7,503.03,347025.84,178681435.05,525.78,direct,,895.16,784.02,760.0,221146.38,196513030.69,888.61,multiply,BTC,141.68,132.23,132.34,535746.3,73579068.98,140.48,direct,
2018-04-19,8321.01,8136.42,8189.92,72820.98,602099034.89,8301.82,direct,,570.18,521.83,525.78,490680.13,267530654.45,567.25,direct,,991.24,888.29,888.61,203824.25,198484765.18,973.8,multiply,BTC,147.72,138.99,140.49,582632.53,83357914.54,146.58,direct,
2018-04-20,8945.14,8243.49,8301.82,114730.74,979994921.45,8877.08,direct,,622.14,557.98,567.25,699889.46,410498449.5,617.16,direct,,1151.3,943.09,966.63,144807.61,154352797.77,1124.67,direct,,156.56,143.45,146.58,729817.95,109540332.8,155.73,direct,
2018-04-21,9047.82,8631.18,8877.15,93635.24,829073400.66,8935.72,direct,,625.15,576.09,617.17,488613.74,294264369.95,605.17,direct,,1188.67,1017.6,1125.29,138996.4,154795305.47,1154.45,direct,,157.08,141.09,155.73,717991.62,106943733.53,148.5,direct,
2018-04-22,9043.98,8788.44,8935.85,68212.83,610183093.43,8823.36,direct,,644.29,591.81,605.17,433216.48,270504773.22,621.33,direct,,1260.13,1110.28,1154.45,120249.99,144092452.68,1195.64,direct,,153.18,145.0,148.5,391049.82,58383011.16,146.67,direct,
2018-04-23,9025.73,8804.2,8823.46,61895.95,553892335.42,8968.25,direct,,648.41,619.57,621.33,373097.03,238556831.22,644.13,direct,,1457.29,1193.33,1195.64,226026.87,309318983.37,1440.95,direct,,153.52,146.48,146.67,424096.6,63992360.9,152.64,direct,
2018-04-24,9741.91,8957.68,8967.86,136352.05,1276464750.74,9655.77,direct,,711.64,644.06,644.13,780339.81,538337384.08,703.35,direct,,1569.35,1391.21,1440.95,246119.9,366818528.51,1407.55,direct,,165.98,152.61,152.64,963993.5,155649983.85,164.69,direct,
2018-04-25,9765.23,8757.06,9657.69,192797.41,1779806222.98,8873.62,direct,,703.9,592.59,703.4,1413475.83,903686072.96,617.73,direct,,1438.2,1226.87,1407.56,289587.91,381199575.56,1289.86,direct,,164.88,140.67,164.69,1182590.17,178366490.3,144.99,direct,
2018-04-26,9315.13,8669.38,8873.57,111690.32,997427934.62,9282.12,direct,,665.97,600.35,617.62,616943.15,387845424.34,661.45,direct,,1425.93,1244.39,1289.86,130722.16,174556815.17,1421.87,direct,,154.58,142.28,145.0,508409.64,74752098.95,153.22,direct,
2018-04-27,9385.87,8923.48,9289.01,82025.4,758182407.35,8938.47,direct,,686.05,640.74,661.41,486769.09,323944620.57,643.33,direct,,1423.32,1327.82,1421.25,91531.02,127133720.06,1331.97,direct,,153.68,145.35,153.19,510508.87,76713116.93,145.87,direct,
